token_id,token,frequency,amplitude
209,fast,3.218579,1.110444
210,crowd,6.551111,0.835540
211,doctor,-3.793141,1.005011
212,medicine,-2.444136,1.115451
213,cook,-0.501668,1.210593
214,delicious,2.891698,1.052860
215,shone,-4.487830,1.059369
216,brightly,-4.784186,0.806218
217,worked,0.748680,0.856453
218,seeds,-0.497507,1.140715
219,cry,2.158083,1.107432
220,joy,2.475102,0.886971
221,lion,3.284133,1.019445
222,roared,2.988748,1.091493
223,jungle,-2.012532,0.925811
224,other,-4.737984,0.880231
225,animals,-3.731745,0.821595
226,quickly,-3.775441,0.996704
227,deep,0.506191,0.953071
228,howled,1.976421,0.954550
229,found,1.866638,1.154542
230,horse,-1.084771,1.180562
231,open,6.065498,0.924532
232,baker,-2.214952,1.102793
233,bread,-0.131312,0.863227
234,village,-1.114293,1.053926
235,wolf,-2.657308,0.995579
236,baby,-3.049850,0.790228
237,see,3.755500,1.046334
238,girl,2.539168,0.948449
239,station,0.675376,1.098129
240,pilot,-6.603492,0.989877
241,flew,-1.441657,1.062416
242,clouds,-1.976970,1.176255
243,heavy,-1.283125,1.048588
244,carried,0.494315,1.016692
245,distant,9.019753,0.846444
246,between,0.160872,0.996661
247,them,-4.023905,1.012760
248,market,-3.263339,1.026074
249,gracefully,-3.091451,1.041485
250,stage,-0.420095,1.028455
251,white,0.047654,0.968985
252,captain,2.664297,0.900292
253,rocky,-4.682753,1.067924
254,writer,0.584889,1.046150
255,finished,-2.097684,0.880576
256,work,2.071142,0.913961
257,beach,-4.195612,1.102557
258,smiled,3.093684,0.935174
259,woman,1.099182,1.053072
260,silently,3.093129,1.019236
261,bushes,3.102544,1.029624
262,watching,-4.106043,1.097183
263,rabbit,3.402453,0.983121
264,above,-2.349393,0.884295
265,earth,-0.286517,0.847582
266,quiet,-1.275814,0.787575
267,crossed,-0.651974,1.033518
268,two,-1.563492,0.857623
269,roses,-0.715356,1.085310
270,yellow,2.159885,0.850093
271,asked,2.968898,0.847688
272,no,1.991688,1.164618
273,bear,-3.535420,1.020396
274,softly,0.214151,0.847145
275,branch,1.144684,0.937761
276,fence,2.982635,0.891917
277,buzzed,5.111226,1.043324
278,landed,-0.428445,0.912755
279,boat,2.811747,0.980928
280,calm,3.347235,1.119119
281,it,-5.578714,1.080773
282,heard,0.564965,0.999835
283,below,3.386085,1.112603
284,shade,-2.204554,0.969134
285,stream,-0.022298,1.160319
286,dawn,2.753354,0.924072
287,sunny,-1.352806,0.888098
288,followed,0.026191,1.032714
289,rolled,0.297866,1.010488
290,line,3.692820,0.864208
291,kitchen,0.449642,1.080930
292,hall,-2.417042,0.919701
293,past,0.666874,0.955303
294,catching,-2.334390,1.046955
295,fly,-1.157193,1.185467
296,crawled,-1.954057,0.960527
297,rich,-2.411151,0.967698
298,ancient,-0.289667,0.807200
299,tiny,-0.867142,1.006152
300,leaf,-1.872403,0.936792
301,behind,-1.181218,0.975354
302,porch,-4.984466,0.933873
303,table,-0.155077,1.012350
304,things,-1.107920,1.114937
305,wait,2.157688,0.986205
306,moment,-1.953456,1.186335
307,others,-3.272240,1.042987
308,than,-1.414237,0.828996
309,thought,-1.678242,1.024822
310,stars,2.935545,1.030012
311,crystal,-0.169754,0.923645
312,big,1.202564,1.132195
313,door,-6.056997,1.000247
314,enough,-1.723820,0.912292
315,school,-0.608735,1.150640
316,an,-5.383484,1.165808
317,next,3.677697,0.972681
318,incredible,4.505907,1.130145
319,route,-1.499606,1.186222
320,traffic,3.243135,1.144782
321,needed,7.058339,0.893059
322,writing,1.339218,0.966215
323,perfectly,1.552289,0.968116
324,colors,-0.090942,1.090384
325,page,-5.156689,0.929543
326,top,-6.804653,1.133412
327,storm,-1.654991,0.955287
328,knocked,-1.803194,1.046910
329,expected,-3.378945,0.980760
330,same,-4.854563,1.161857
331,time,-1.521215,0.970759
332,test,-1.250487,0.956531
333,championship,1.031729,0.968371
334,community,0.772436,0.955129
335,both,-2.868137,1.030100
336,end,-2.402775,0.960456
337,opened,3.500409,1.159476
338,planted,-0.866919,1.040103
339,avoid,-0.385614,1.065899
340,perfect,-0.563338,0.914092
341,frame,-0.054160,0.855388
342,throughout,-1.299124,1.118696
343,designed,5.810102,1.055887
344,captured,-0.518888,0.930020
345,repaired,-0.378929,1.144832
346,created,-0.033676,0.945734
347,reviewed,-0.174328,0.936761
348,organized,0.671457,1.090408
349,started,2.955069,0.824476
350,ruled,-0.513303,1.010862
351,kingdom,0.331346,0.956769
352,wisdom,0.009393,0.854301
353,powerful,-0.686417,0.973835
354,ruler,-0.936456,0.990166
355,loved,-0.757651,0.795343
356,prince,5.451818,0.990164
357,princess,6.332521,0.952309
358,lived,3.265780,0.917427
359,royal,1.786518,0.934790
360,even,4.651029,0.853269
361,harder,1.145494,0.995949
362,mat,0.752172,1.090208
363,chasing,4.592878,0.773808
364,rose,2.840289,0.991844
365,mountains,-0.310561,1.014476
366,casting,-2.036514,1.125069
367,valley,1.217071,1.030728
368,read,0.549327,1.005136
369,music,-0.853375,0.920069
370,band,-1.807539,0.996765
371,favorite,-4.080556,1.140354
372,songs,0.826929,0.825686
373,explained,2.034414,0.918451
374,problem,4.285149,1.036092
375,sailed,1.457068,0.945922
376,letter,-0.300410,1.056936
377,friend,-4.192358,0.958249
378,stories,-1.674557,0.971069
379,war,-4.583098,1.077625
380,soldiers,-1.299863,0.931306
381,parents,0.358178,0.935787
382,discovered,2.453089,0.995435
383,element,-7.787929,1.132052
384,laboratory,-0.826133,1.157239
385,fell,2.623830,0.955809
386,heavily,1.383061,0.880195
387,flooding,-1.964638,0.999417
388,roads,-0.462813,0.915644
389,artist,-0.323660,0.882366
390,trying,0.701314,1.002003
391,catch,0.708596,0.928769
392,examined,-2.715320,1.056392
393,patient,-0.783038,0.915203
394,giving,0.338236,1.175166
395,bloomed,-2.374665,0.982851
396,filling,-5.688188,1.025069
397,fragrance,3.082232,0.847873
398,prepared,2.158646,1.024545
399,meal,-5.606803,0.947153
400,planting,0.866083,0.992609
401,harvest,-2.191363,0.917765
402,song,2.041837,1.071154
403,student,0.362454,1.138926
404,studied,3.173786,1.103871
405,exam,-5.453012,1.057863
406,hoping,-0.096882,1.049948
407,get,0.394486,1.046936
408,grade,-1.701505,1.140557
409,scaring,2.876475,0.825976
410,overlooking,-2.807909,1.146852
411,town,2.918922,1.199031
412,stormy,-1.780739,1.057720
413,ring,-0.935051,0.840393
414,galloped,-4.216848,0.867989
415,plain,-2.524937,1.009783
416,early,-0.252387,0.801782
417,hunted,-2.832370,1.048396
418,cried,0.929270,1.077129
419,until,1.662288,1.031921
420,mother,-0.736610,1.012560
421,picked,3.899807,1.012640
422,drew,-4.306102,0.921005
423,colored,-0.875549,1.063745
424,pencils,-3.196121,0.975659
425,arrived,-0.311495,1.098588
426,just,4.569555,0.960770
427,midnight,1.249631,0.801547
428,plane,2.093943,0.787165
429,fallen,-3.077223,1.029485
430,downstream,-5.127160,1.052963
431,secret,-0.765127,0.992366
432,changed,-0.217334,0.988181
433,church,0.789991,0.987320
434,bell,-2.227918,1.130309
435,rang,2.157823,1.027180
436,twelve,-3.369043,1.068835
437,times,5.095884,0.828518
438,noon,-2.778746,1.130944
439,buying,-1.893642,1.084373
440,fruits,-0.559654,0.966941
441,vegetables,0.078014,0.973305
442,knight,4.506582,1.089352
443,defended,5.975494,1.140499
444,enemy,-2.567446,0.929533
445,courage,1.362553,1.028175
446,danced,-4.360164,0.997395
447,audience,1.640675,0.937212
448,steered,-2.338084,0.893722
449,dangerous,-0.521442,0.913499
450,waters,3.427996,0.985702
451,novel,3.282972,1.090899
452,sandy,0.298746,0.955757
453,gave,-0.205169,0.991321
454,speech,-4.241449,1.041369
455,peace,-2.959126,1.110430
456,justice,3.862998,1.021430
457,warmly,-1.926261,0.959453
458,came,2.383579,1.005315
459,visit,0.697227,1.166690
460,fireplace,1.004298,1.025834
461,knitted,-5.015904,1.011134
462,scarf,-3.754096,0.837438
463,grandchild,4.050231,1.125886
464,burned,0.414452,0.884333
465,star,-2.059256,0.887884
466,diamond,-2.739090,1.203828
467,vast,-1.888094,0.912585
468,marched,-1.943442,1.115522
469,bravely,0.515828,0.869056
470,battle,1.902317,1.153852
471,without,1.489527,1.051836
472,fear,2.060830,1.005297
473,fox,1.211824,1.039179
474,crept,-0.638281,0.920730
475,eagle,-0.780100,0.913607
476,soared,-4.956202,1.020766
477,clock,-0.064742,1.140703
478,ticked,1.433664,1.051170
479,connecting,-0.565800,0.883688
480,towns,1.289036,0.992266
481,sunflowers,2.243376,1.043838
482,thunder,1.467453,1.026722
483,lightning,4.550200,1.066311
484,flashed,5.131525,1.078979
485,simple,-1.469970,1.060626
486,question,-1.220739,0.927703
487,answer,1.884127,1.079247
488,wound,-2.758923,1.161953
489,hills,-1.691902,1.068457
490,valleys,-0.592327,0.980947
491,coast,-6.801241,0.962949
492,deeply,-2.403700,0.907523
493,cave,-2.356758,0.933694
494,during,4.626749,0.814465
495,snake,-3.753668,1.185368
496,slithered,-5.432938,0.865255
497,quietly,-3.223225,1.051023
498,owl,-0.722715,1.124355
499,hooted,1.730016,1.093708
500,dead,3.589919,0.988829
501,spider,-1.192867,0.969016
502,spun,-2.446422,1.050190
503,delicate,0.917495,1.118329
504,web,-2.362533,0.745046
505,posts,4.299679,0.929377
506,frog,-0.413064,0.951235
507,lily,2.460853,0.988548
508,pad,0.197965,1.111273
509,turtle,2.080437,1.036770
510,dusty,0.290004,1.036042
511,bee,-4.981740,1.035125
512,collecting,-2.217777,0.988162
513,nectar,-0.318463,0.941004
514,ant,-1.957255,0.949108
515,back,-2.894836,0.851227
516,colony,-0.844414,1.080773
517,working,-2.192664,0.999852
518,butterfly,-0.442830,1.071308
519,petal,6.785754,1.042707
520,crow,-2.747076,1.008555
521,scarecrow,-0.494927,0.972156
522,corn,2.307135,0.954999
523,squirrel,3.274564,1.014020
524,gathered,-0.828515,1.088840
525,nuts,-2.719088,1.074131
526,hid,1.401682,1.139883
527,hollow,-3.459083,0.787627
528,hopped,1.506848,1.141912
529,deer,-1.161457,1.274069
530,edge,1.788407,1.051726
531,listening,-3.591866,0.939217
532,whale,-1.599479,1.162021
533,breached,-2.008836,1.044739
534,dolphin,1.110897,0.913377
535,playfully,-1.218615,1.067690
536,waves,-0.840022,0.971376
537,shark,-1.326760,0.974160
538,beneath,1.752822,1.052219
539,penguin,-2.149791,1.081778
540,waddled,-8.024840,1.062162
541,ice,1.465443,1.150734
542,parrot,1.774473,1.065024
543,repeated,-1.635626,0.892630
544,word,-3.545261,0.936151
545,funny,-5.174343,0.932865
546,voice,3.082828,1.145718
547,monkey,-3.084597,1.057060
548,threw,-1.511172,0.933308
549,fruit,2.398203,1.085361
550,elephant,-2.014814,0.756010
551,grassland,-1.005632,1.078056
552,giraffe,-0.212522,0.898283
553,neck,-2.257963,1.037702
554,reach,-0.329179,1.016943
555,highest,-6.268937,0.983309
556,zebra,2.716431,1.066176
557,herd,4.044418,1.123656
558,african,-4.371953,1.106297
559,savanna,0.677082,1.025451
560,lazily,4.780682,0.966999
561,acacia,-0.627249,0.922076
562,tiger,0.745428,1.051915
563,prowled,3.213156,0.940074
564,dense,-2.641906,1.130013
565,caught,-1.004483,1.138919
566,paws,-0.012336,1.056303
567,hawk,3.832003,1.028796
568,circled,-2.649423,1.085495
569,diving,-2.312065,0.940144
570,swan,-2.148582,0.854070
571,glided,-0.621725,1.053965
572,peacock,-1.850759,1.069296
573,spread,1.255479,0.930272
574,colorful,-2.914726,1.055361
575,feathers,2.846716,1.032572
576,attract,-5.451261,1.050290
577,mate,1.237882,0.952623
578,freely,-0.731008,0.917352
579,pasture,-0.349973,1.050627
580,land,-1.481548,0.885462
581,cow,6.888391,1.161775
582,grazed,-1.922113,0.984855
583,peacefully,-5.651802,1.020493
584,barn,3.560886,1.111977
585,sheep,-0.345653,1.075376
586,shepherd,-2.747381,0.998330
587,goat,-5.584601,0.788490
588,steep,-1.583462,1.059744
589,cliff,0.394650,1.001404
590,amazing,6.639140,1.044227
591,agility,-5.530090,0.936266
592,pig,2.047744,1.106889
593,mud,3.236790,1.044236
594,chicken,-4.691162,1.007435
595,pecked,-1.092728,0.929731
596,grain,0.638266,1.058954
597,scattered,7.546589,0.909736
598,duck,1.748485,1.076166
599,ducklings,0.136554,0.939856
600,rooster,-0.177223,1.089890
601,crowed,2.074584,1.198134
602,chased,-0.874433,0.884071
603,mouse,-6.336534,1.084267
604,barked,-1.711755,0.893724
605,stranger,-2.400481,1.131577
606,bird,-1.482175,0.853882
607,pine,-3.092920,0.978869
608,midair,1.339041,1.078815
609,worm,-0.988293,1.189308
610,soil,3.235437,0.874278
611,snail,0.051470,0.919618
612,wet,1.401830,0.896981
613,beetle,4.940670,0.841843
614,rough,-0.867503,1.008016
615,bark,0.252727,0.915954
616,cricket,-2.923891,0.985218
617,chirped,3.732170,0.918487
618,evening,6.097051,0.840199
619,firefly,-4.540097,1.025077
620,glowed,0.043281,0.964834
621,darkness,0.812514,0.972403
622,grasshopper,7.421342,0.899299
623,leaped,-0.554104,0.901585
624,blade,-3.077026,1.075505
625,dragonfly,-1.226042,0.920949
626,hovered,6.031003,1.149792
627,insects,-0.643107,0.974767
628,ladybug,-0.031700,0.855070
629,eating,0.287280,0.973463
630,aphids,1.886516,1.065678
631,caterpillar,2.529854,0.874207
632,ate,0.565604,1.064141
633,leaving,-0.503859,0.968549
634,holes,2.270413,0.950657
635,moth,-0.229991,0.918691
636,circles,5.698196,0.762563
637,wasp,-3.841878,1.032245
638,paper,-1.914430,1.012350
639,roof,2.399065,0.985417
640,shed,-0.571851,0.921902
641,mosquito,-7.728409,0.993087
642,annoyingly,2.992966,0.770282
643,sleeping,-1.324453,0.742974
644,ear,4.123866,1.049351
645,rubbed,-5.229973,0.983298
646,legs,-0.630194,1.097074
647,come,0.471369,1.045856
648,those,6.010733,0.933963
649,right,0.419878,1.034262
650,leaders,2.902248,0.939957
651,inspire,1.978827,1.014737
652,achieve,2.990603,0.959303
653,possible,-0.996383,0.804213
654,bad,-2.375005,0.931326
655,weather,-2.420165,1.101887
656,forced,-5.741999,0.968775
657,stay,-2.675876,1.184909
658,inside,7.869442,0.963233
659,whole,5.561294,0.800068
660,happy,3.670911,1.050353
661,laughed,3.347201,0.997860
662,spring,-2.930803,1.022196
663,sunshine,-1.632144,0.915535
664,sad,1.749212,0.976795
665,alone,1.818802,1.122877
666,remembering,2.521420,0.920506
667,fought,3.161312,0.970083
668,protect,-3.067887,1.090949
669,taught,5.891233,0.913792
670,think,3.449050,0.909635
671,themselves,1.960287,0.845403
672,dreamed,0.267255,1.040773
673,traveling,-1.301103,1.033833
674,seeing,2.474521,0.897413
675,off,-3.222113,0.843365
676,lit,5.470078,1.046377
677,desert,-5.189394,0.824500
678,warmed,4.663055,1.054113
679,hot,0.278515,0.997509
680,days,0.349186,1.036141
681,seek,-2.023335,0.992021
682,endlessly,3.402062,1.052012
683,horizon,-1.153594,0.995849
684,short,0.859565,1.127824
685,led,2.904725,1.155865
686,directly,-0.935789,0.950076
687,cottage,2.766242,0.932959
688,flat,-5.296458,0.999794
689,countryside,0.900956,1.010295
690,barely,1.946630,1.066513
691,cross,4.459700,0.932445
692,skyline,2.326857,0.954801
693,row,-3.795556,0.874705
694,hundreds,-3.225873,1.086104
695,modern,0.438047,1.047252
696,glass,-5.078256,1.070264
697,windows,-1.637121,1.076479
698,noisy,1.557199,1.147847
699,crowded,-1.386210,1.112157
700,energy,5.550933,0.953105
701,houses,-7.900619,1.069337
702,shop,0.934684,1.033555
703,maintained,-3.365453,0.956356
704,elderly,-0.453783,1.055405
705,couple,-4.075351,0.890595
706,care,2.225412,0.917866
707,ugly,1.025322,1.046177
708,scheduled,-6.537344,0.885950
709,demolition,-0.089939,0.992933
710,month,1.556381,1.078768
711,merchant,3.028765,1.053250
712,traveled,3.561127,0.973366
713,trading,-0.110965,1.003649
714,exotic,-2.558704,1.226040
